iteration,avg_loss,num_points
1,0.052155,208756
2,0.050162,307028
3,0.044344,373903
4,0.045067,428750
5,0.038724,473165
6,0.037083,507587
7,0.039601,542751
8,0.038947,542751
9,0.039394,574653
10,0.038754,574653
11,0.036906,604436
12,0.038528,604436
13,0.036597,630401
14,0.038469,651490
15,0.038085,670609
16,0.037569,686426
17,0.035183,700741
18,0.037186,716428
19,0.037388,730205
20,0.034420,742807
21,0.036525,753523
22,0.036722,763512
23,0.040210,772916
24,0.038571,781918
25,0.038873,790547
26,0.037512,798894
27,0.040465,806980
28,0.040737,814895
29,0.038735,823005
30,0.039319,830500
31,0.041689,837874
32,0.039982,845153
33,0.039356,851554
34,0.040087,857627
35,0.040453,863716
36,0.043096,870000
37,0.043451,875636
38,0.041079,881038
39,0.041315,886567
40,0.041351,891850
41,0.041529,896941
42,0.041801,901800
43,0.041442,906700
44,0.042116,911422
45,0.043966,915886
46,0.041681,920368
47,0.041121,924674
48,0.041819,928742
49,0.043888,932566
50,0.040866,936405
51,0.042755,940242
52,0.040217,944118
53,0.042644,947515
54,0.039940,950673
55,0.040008,953775
56,0.039357,956839
57,0.039854,959669
58,0.039211,962389
59,0.041391,965186
60,0.039444,967987
61,0.040912,970636
62,0.038305,973280
63,0.040297,975953
64,0.038598,978460
65,0.038487,981111
66,0.038292,983717
67,0.038412,986153
68,0.038517,988744
69,0.038550,991192
70,0.038386,993429
71,0.038389,995741
72,0.037473,997970
73,0.037352,1000051
74,0.039102,1002053
75,0.036932,1004192
76,0.036642,1006168
77,0.036803,1008256
78,0.036531,1010200
79,0.038247,1012211
80,0.036600,1014258
81,0.036368,1016066
82,0.038347,1018030
83,0.036965,1020106
84,0.037132,1022012
85,0.037202,1024004
86,0.037042,1026110
87,0.037341,1028275
88,0.039319,1030615
89,0.039502,1032803
90,0.037634,1035000
91,0.038194,1037170
92,0.038038,1039339
93,0.038066,1041485
94,0.037866,1043524
95,0.037595,1045440
96,0.036757,1047267
97,0.036894,1049129
98,0.036372,1051204
99,0.036249,1053353
100,0.035923,1055472
101,0.035612,1057432
102,0.035565,1059329
103,0.035163,1061269
104,0.035068,1063162
105,0.035016,1064975
106,0.035047,1066595
107,0.035293,1068174
108,0.035073,1069486
109,0.034970,1070653
110,0.035007,1071754
111,0.034740,1072740
112,0.034228,1073689
113,0.034102,1074569
114,0.033699,1075392
115,0.033445,1076259
116,0.032832,1077031
117,0.032333,1077843
118,0.031505,1078591
119,0.030980,1079282
120,0.030241,1079957
121,0.029735,1080607
122,0.029643,1081253
123,0.028555,1081828
124,0.028293,1082452
125,0.028001,1083069
126,0.027250,1083642
127,0.027691,1084257
128,0.027254,1084779
129,0.027315,1085300
130,0.026340,1085832
131,0.025531,1086406
132,0.026921,1086942
133,0.026273,1087406
134,0.026201,1087970
135,0.026414,1088478
