iteration,avg_loss,num_points
1,0.045585,208756
2,0.043172,307028
3,0.043904,373903
4,0.044777,428750
5,0.033261,473165
6,0.031692,507587
7,0.031846,542751
8,0.031105,542751
9,0.033174,574653
10,0.030562,574653
11,0.030595,604436
12,0.029906,604436
13,0.031712,630401
14,0.029749,651490
15,0.029121,670609
16,0.030118,686426
17,0.026920,700741
18,0.028139,716428
19,0.028590,730205
20,0.028787,742807
21,0.029385,753523
22,0.031767,763512
23,0.030872,772916
24,0.031713,781918
25,0.032517,790547
26,0.031439,798894
27,0.031524,806980
28,0.034340,814895
29,0.032839,823005
30,0.033105,830500
31,0.033541,837874
32,0.033778,845153
33,0.036522,851554
34,0.036582,857627
35,0.035146,863716
36,0.035242,870000
37,0.034976,875636
38,0.037448,881038
39,0.040766,886567
40,0.035752,891850
41,0.035319,896941
42,0.035323,901800
43,0.035774,906700
44,0.035717,911422
45,0.038031,915886
46,0.035057,920368
47,0.037424,924674
48,0.034199,928742
49,0.033981,932566
50,0.034800,936405
51,0.033737,940242
52,0.033816,944118
53,0.033227,947515
54,0.033243,950673
55,0.032904,953775
56,0.033219,956839
57,0.033829,959669
58,0.032724,962389
59,0.032478,965186
60,0.032243,967987
61,0.033850,970636
62,0.031999,973280
63,0.032031,975953
64,0.032004,978460
65,0.031771,981111
66,0.033362,983717
67,0.031811,986153
68,0.031607,988744
69,0.032038,991192
70,0.031446,993429
71,0.031885,995741
72,0.031146,997970
73,0.031133,1000051
74,0.032208,1002053
75,0.030278,1004192
76,0.030350,1006168
77,0.031337,1008256
78,0.029918,1010200
79,0.029860,1012211
80,0.029718,1014258
81,0.029898,1016066
82,0.029883,1018030
83,0.031398,1020106
84,0.030358,1022012
85,0.030290,1024004
86,0.030837,1026110
87,0.032205,1028275
88,0.030928,1030615
89,0.031641,1032803
90,0.033074,1035000
91,0.031471,1037170
92,0.032699,1039339
93,0.031410,1041485
94,0.032613,1043524
95,0.030974,1045440
96,0.030871,1047267
97,0.030147,1049129
98,0.033554,1051204
99,0.029916,1053353
100,0.030115,1055472
101,0.030478,1057432
102,0.031360,1059329
103,0.029932,1061269
104,0.030986,1063162
105,0.030852,1064975
106,0.029531,1066595
107,0.029369,1068174
108,0.028977,1069486
109,0.028892,1070653
110,0.028653,1071754
111,0.028086,1072740
112,0.028032,1073689
113,0.027536,1074569
114,0.027301,1075392
115,0.026704,1076259
116,0.027315,1077031
117,0.026126,1077843
118,0.025963,1078591
119,0.025438,1079282
120,0.025341,1079957
121,0.024724,1080607
122,0.024615,1081253
123,0.025026,1081828
124,0.024254,1082452
125,0.023949,1083069
126,0.023829,1083642
127,0.023566,1084257
128,0.022882,1084779
129,0.023229,1085300
130,0.022855,1085832
131,0.022660,1086406
132,0.023258,1086942
133,0.022689,1087406
134,0.021928,1087970
135,0.022209,1088478
136,0.022771,1089018
137,0.022501,1089595
138,0.022652,1090242
139,0.022762,1090949
140,0.022521,1091677
141,0.022206,1092403
142,0.021905,1093167
143,0.021916,1094028
144,0.023189,1094909
145,0.022144,1095866
146,0.023438,1096892
147,0.023963,1097991
148,0.024043,1099308
149,0.025109,1100824
150,0.026267,1102376
151,0.026971,1103916
152,0.027382,1105509
153,0.026941,1107151
154,0.028062,1108840
155,0.026833,1110482
156,0.027235,1112361
157,0.027883,1114372
158,0.028056,1116701
159,0.027329,1118669
160,0.027115,1120216
161,0.026801,1121883
162,0.027424,1123732
163,0.027709,1125669
164,0.026572,1128244
165,0.027564,1130981
166,0.029096,1134157
167,0.027550,1137928
168,0.028005,1141656
169,0.026813,1145320
170,0.026694,1149647
171,0.027370,1154275
172,0.026774,1159229
173,0.027333,1164510
174,0.028197,1170123
175,0.028084,1176186
176,0.027639,1182337
177,0.027606,1188661
178,0.028316,1195389
179,0.028526,1202156
180,0.029014,1208806
181,0.028838,1215650
182,0.028699,1222009
183,0.028902,1228316
184,0.028966,1234600
185,0.028452,1234600
186,0.028929,1243014
187,0.027965,1243014
188,0.029419,1252558
189,0.032378,1252558
190,0.032173,1262469
191,0.030012,1262469
192,0.034288,1272727
193,0.033511,1272727
194,0.038624,1283270
195,0.041308,1283270
196,0.040077,1294136
197,0.043227,1303996
198,0.044187,1312935
199,0.042329,1320684
200,0.037351,1327707
