iteration,avg_loss,num_points
1,0.051069,105168
2,0.047303,132530
3,0.048263,147481
4,0.042618,160114
5,0.036172,168407
6,0.036372,175418
7,0.034310,183493
8,0.035764,183493
9,0.033649,190405
10,0.035106,190405
11,0.033003,196846
12,0.031020,196846
13,0.030736,201718
14,0.031393,204943
15,0.032337,207554
16,0.028898,209536
17,0.028173,211451
18,0.030415,213203
19,0.027630,214917
20,0.030257,216409
21,0.029126,217839
22,0.028207,219328
23,0.030278,220755
24,0.032935,222170
25,0.030318,223512
26,0.031023,224805
27,0.033391,226108
28,0.036458,227379
29,0.032885,228639
30,0.032994,229810
31,0.034051,231043
32,0.036009,232293
33,0.036437,233450
34,0.034351,234531
35,0.037458,235577
36,0.035065,236661
37,0.036260,237638
38,0.035301,238567
39,0.038101,239513
40,0.038327,240437
41,0.036091,241240
42,0.036582,242041
43,0.035928,242933
44,0.038084,243676
45,0.035902,244448
46,0.036568,245205
47,0.040570,245945
48,0.036536,246659
49,0.036820,247299
50,0.036703,247885
51,0.035201,248509
52,0.034381,249158
53,0.033957,249745
54,0.033952,250237
55,0.034392,250785
56,0.035723,251255
57,0.033292,251715
58,0.032963,252205
59,0.033684,252668
60,0.033136,253073
61,0.033340,253478
62,0.033371,253898
63,0.033694,254290
64,0.033805,254686
65,0.033342,255083
66,0.033203,255411
67,0.033152,255740
68,0.032973,256174
69,0.033368,256417
70,0.033700,256745
71,0.033588,257080
72,0.032790,257346
73,0.034326,257591
74,0.033522,257843
75,0.032217,258120
76,0.031959,258389
77,0.031524,258697
78,0.031642,258942
79,0.031179,259241
80,0.031273,259562
81,0.031130,259828
82,0.030941,260136
83,0.030844,260475
84,0.032726,260779
85,0.031564,261126
86,0.032322,261471
87,0.031395,261841
88,0.031028,262227
89,0.031309,262554
90,0.031348,262906
91,0.031768,263238
92,0.031455,263575
93,0.031532,263905
94,0.032009,264166
95,0.031527,264427
96,0.032078,264687
97,0.031777,264965
98,0.032101,265281
99,0.032233,265631
100,0.032066,265968
101,0.032720,266338
102,0.032624,266658
103,0.032864,266989
104,0.032801,267323
105,0.033431,267633
106,0.033675,267909
107,0.033411,268184
108,0.033893,268396
109,0.034355,268525
110,0.034257,268692
111,0.036035,268815
112,0.033939,268937
113,0.034573,269035
114,0.034543,269169
115,0.034615,269282
116,0.034744,269398
117,0.034590,269512
118,0.034274,269607
119,0.035916,269703
120,0.033891,269791
121,0.033583,269889
122,0.033656,269988
123,0.033631,270087
124,0.033719,270168
125,0.033491,270293
126,0.032778,270378
127,0.032996,270478
128,0.032882,270558
129,0.032842,270625
130,0.031851,270705
131,0.033755,270777
132,0.032335,270876
133,0.031628,270953
134,0.031906,271071
135,0.031774,271153
136,0.031559,271268
137,0.030806,271378
138,0.030965,271518
139,0.030575,271648
140,0.030421,271810
141,0.030168,271964
142,0.029980,272123
143,0.029489,272296
144,0.029663,272484
145,0.030632,272692
146,0.029485,272937
147,0.030467,273189
148,0.029442,273509
149,0.030222,273862
150,0.030528,274248
151,0.031577,274621
