iteration,total_loss,num_points
1,0.057529,105168
2,0.049228,132530
3,0.049345,147481
4,0.049560,160114
5,0.049505,168407
6,0.049469,175418
7,0.049367,183493
8,0.048630,183493
9,0.048573,190405
10,0.047878,190405
11,0.047777,196846
12,0.047121,196846
13,0.046600,201718
14,0.046723,204943
15,0.046186,207554
16,0.045633,209536
17,0.044517,211451
18,0.046764,213203
19,0.045245,214917
20,0.044156,216409
21,0.043613,217839
22,0.047650,219328
23,0.044295,220755
24,0.045953,222170
25,0.044308,223512
26,0.050945,224805
27,0.051833,226108
28,0.041821,227379
29,0.039992,228639
30,0.054414,229810
31,0.052137,231043
32,0.048449,232293
33,0.049375,233450
34,0.041161,234531
35,0.042806,235577
36,0.039490,236661
37,0.038162,237638
38,0.054975,238567
39,0.040097,239513
40,0.043540,240437
41,0.047431,241240
42,0.038880,242041
43,0.050258,242933
44,0.066052,243676
45,0.063799,244448
46,0.039611,245205
47,0.062304,245945
48,0.037130,246659
49,0.059950,247299
50,0.042715,247885
51,0.038070,248509
52,0.036965,249158
53,0.062200,249745
54,0.064579,250237
55,0.037576,250785
56,0.065156,251255
57,0.064335,251715
58,0.037908,252205
59,0.062647,252668
60,0.053569,253073
61,0.060923,253478
62,0.040141,253898
63,0.062383,254290
64,0.037551,254686
65,0.041807,255083
66,0.063260,255411
67,0.061849,255740
68,0.045418,256174
69,0.056487,256417
70,0.037308,256745
71,0.055238,257080
72,0.042977,257346
73,0.059995,257591
74,0.062179,257843
75,0.051269,258120
76,0.060124,258389
77,0.059668,258697
78,0.057579,258942
79,0.037043,259241
80,0.038507,259562
81,0.038826,259828
82,0.048400,260136
83,0.042327,260475
84,0.039677,260779
85,0.036584,261126
86,0.035839,261471
87,0.035405,261841
88,0.058757,262227
89,0.036001,262554
90,0.046360,262906
91,0.058216,263238
92,0.057284,263575
93,0.035529,263905
94,0.050835,264166
95,0.037382,264427
96,0.043888,264687
97,0.056247,264965
98,0.059409,265281
99,0.058725,265631
100,0.058394,265968
101,0.035663,266338
102,0.050345,266658
103,0.057655,266989
104,0.056032,267323
105,0.056597,267633
106,0.056100,267909
107,0.055458,268184
108,0.036457,268396
109,0.054945,268525
110,0.056979,268692
111,0.056033,268815
112,0.054254,268937
113,0.055478,269035
114,0.054008,269169
115,0.046032,269282
116,0.053858,269398
117,0.055000,269512
118,0.053232,269607
119,0.053008,269703
120,0.053694,269791
121,0.052991,269889
122,0.036134,269988
123,0.052244,270087
124,0.054285,270168
125,0.054967,270293
126,0.053153,270378
127,0.051893,270478
128,0.053273,270558
129,0.043874,270625
130,0.051647,270705
131,0.052679,270777
132,0.051599,270876
133,0.053796,270953
134,0.052321,271071
135,0.036427,271153
136,0.047059,271268
137,0.041905,271378
138,0.036192,271518
139,0.050368,271648
140,0.050666,271810
141,0.045826,271964
142,0.036815,272123
143,0.051590,272296
144,0.036282,272484
145,0.051545,272692
146,0.050983,272937
147,0.044884,273189
148,0.050227,273509
149,0.050602,273862
150,0.051690,274248
151,0.049970,274621
152,0.051264,275016
153,0.050562,275443
154,0.050418,275833
155,0.036988,276192
156,0.051780,276646
157,0.044206,277107
158,0.050570,277629
159,0.050393,278029
160,0.051118,278354
161,0.049657,278772
162,0.049282,279239
163,0.049038,279858
164,0.037609,280978
165,0.048513,281832
166,0.037495,282956
167,0.048285,284181
168,0.055979,285021
169,0.043186,286231
170,0.054647,287759
171,0.049798,289052
172,0.051083,290473
173,0.046805,292212
174,0.056413,294150
175,0.047640,295814
176,0.048712,297416
177,0.056260,299028
178,0.054744,300829
179,0.084843,302625
180,0.048504,304384
181,0.067985,306228
182,0.049136,307986
183,0.048621,309657
184,0.048995,311303
185,0.041862,311303
186,0.054474,314368
187,0.038612,314368
188,0.048260,317598
189,0.042008,317598
190,0.044725,320915
191,0.048981,320915
192,0.049287,324201
193,0.048504,324201
194,0.050990,327809
195,0.046744,327809
196,0.096811,331396
197,0.049705,334044
198,0.080800,336471
199,0.039422,338345
200,0.062153,340072
201,0.040489,341779
202,0.048957,343342
203,0.084991,344845
204,0.044275,346426
205,0.048990,347960
206,0.047434,349510
207,0.039184,351143
208,0.083562,353197
209,0.046538,355695
210,0.039648,358283
211,0.047820,360496
212,0.104538,362185
213,0.044883,364483
214,0.050146,364483
215,0.056655,367775
216,0.046855,370005
217,0.044465,372107
218,0.055843,373314
219,0.047314,374188
220,0.046731,374886
221,0.047058,375646
222,0.044877,376548
223,0.053249,377581
224,0.049127,378689
225,0.039248,379682
226,0.053631,380466
227,0.038548,381178
228,0.046812,381762
229,0.049836,382355
230,0.068841,382889
231,0.039117,382889
232,0.044750,383596
233,0.044973,383596
234,0.038327,383946
235,0.042709,383946
236,0.046042,383946
237,0.074088,384221
238,0.075177,384221
239,0.042924,384221
240,0.042284,384221
241,0.047198,384389
242,0.046116,384389
243,0.047469,384532
244,0.039268,384532
245,0.038361,384619
246,0.043046,384619
247,0.037930,384714
248,0.046553,384804
249,0.045824,384890
250,0.067902,384980
251,0.037732,385052
252,0.079715,385123
253,0.049847,385187
254,0.046816,385245
255,0.041436,385309
256,0.100792,385363
257,0.063061,385435
258,0.064199,385495
259,0.050561,385553
260,0.069409,385606
261,0.093300,385658
262,0.038284,385719
263,0.046782,385793
264,0.102651,385879
265,0.036852,385977
266,0.041162,386102
267,0.048878,386196
268,0.037484,386310
269,0.075147,386440
270,0.079712,386552
271,0.045172,386684
272,0.063840,386857
273,0.046876,387020
274,0.048833,387230
275,0.061747,387416
276,0.063230,387640
277,0.037620,387870
278,0.045537,388095
279,0.044945,388304
280,0.069012,388534
281,0.059314,388777
282,0.041823,388996
283,0.037891,389250
284,0.045078,389523
285,0.044657,389829
286,0.061337,390134
287,0.072086,390458
288,0.060329,390763
289,0.064350,391061
290,0.053824,391365
291,0.038819,391725
292,0.102662,392097
293,0.039839,392485
294,0.099191,392858
295,0.062621,393235
296,0.063742,393651
297,0.062553,394038
298,0.044017,394413
299,0.038896,394811
300,0.058162,395229
301,0.041758,395838
302,0.042504,396275
303,0.054683,396668
304,0.037401,397058
305,0.064855,397438
306,0.056690,397792
307,0.045850,398146
308,0.038458,398443
309,0.057764,398719
310,0.098905,398932
311,0.043776,399119
312,0.037901,399365
313,0.037663,399595
314,0.073711,399819
315,0.057615,400024
316,0.060390,400266
317,0.060831,400465
318,0.038655,400694
319,0.038540,400879
320,0.062970,401074
321,0.037008,401236
322,0.101480,401396
323,0.049547,401530
324,0.053749,401638
325,0.047043,401769
326,0.044381,401865
327,0.064323,401967
328,0.060579,402034
329,0.037414,402098
330,0.054288,402150
331,0.052613,402210
332,0.096632,402265
333,0.039946,402299
334,0.056758,402353
335,0.046913,402379
336,0.061374,402402
337,0.063266,402417
338,0.057233,402435
339,0.046284,402455
340,0.040855,402471
341,0.071842,402476
342,0.039918,402484
343,0.092394,402486
344,0.067075,402489
345,0.036364,402491
346,0.043685,402493
347,0.037208,402497
348,0.038228,402501
349,0.070989,402504
350,0.059041,402509
351,0.072290,402511
352,0.091610,402514
353,0.048642,402515
354,0.057002,402516
355,0.045863,402519
356,0.039217,402521
357,0.093032,402522
358,0.051016,402523
359,0.037078,402523
360,0.052341,402523
361,0.061703,402524
362,0.060246,402525
363,0.045522,402527
364,0.047157,402540
365,0.038480,402545
366,0.038554,402548
367,0.049685,402553
368,0.046801,402553
369,0.060821,402554
370,0.039059,402561
371,0.047822,402564
372,0.036088,402566
373,0.056233,402567
374,0.045571,402570
375,0.046373,402576
376,0.046354,402585
377,0.044186,402585
378,0.050269,402596
379,0.051690,402596
380,0.036197,402608
381,0.039447,402608
382,0.045306,402614
383,0.039656,402614
384,0.044015,402623
385,0.047222,402634
386,0.039357,402643
387,0.044209,402654
388,0.052494,402664
389,0.066345,402670
390,0.048051,402680
