iteration,total_loss,num_points
1,0.057529,105168
2,0.044022,132530
3,0.040024,147481
4,0.037671,160114
5,0.035152,168407
6,0.033549,175418
7,0.031915,183493
8,0.030016,183493
9,0.028877,190405
10,0.027572,190405
11,0.026604,196846
12,0.025824,196846
13,0.024515,201718
14,0.024048,204943
15,0.023080,207554
16,0.022822,209536
17,0.021914,211451
18,0.023070,213203
19,0.021500,214917
20,0.020633,216409
21,0.020054,217839
22,0.022649,219328
23,0.031402,220755
24,0.022240,222170
25,0.019384,223512
26,0.031074,224805
27,0.030198,226108
28,0.024943,227379
29,0.022555,228639
30,0.026101,229810
31,0.022475,231043
32,0.044093,232293
33,0.033905,233450
34,0.029373,234531
35,0.028495,235577
36,0.023147,236661
37,0.021918,237638
38,0.020625,238567
39,0.022892,239513
40,0.019779,240437
41,0.060007,241240
42,0.028608,242041
43,0.040019,242933
44,0.046903,243676
45,0.032794,244448
46,0.027716,245205
47,0.056353,245945
48,0.028708,246659
49,0.026410,247299
50,0.057442,247885
51,0.049721,248509
52,0.044786,249158
53,0.040522,249745
54,0.035374,250237
55,0.031459,250785
56,0.030210,251255
57,0.028789,251715
58,0.041532,252205
59,0.030892,252668
60,0.051932,253073
61,0.041907,253478
62,0.033503,253898
63,0.040528,254290
64,0.034402,254686
65,0.028928,255083
66,0.040366,255411
67,0.041410,255740
68,0.033188,256174
69,0.050416,256417
70,0.035106,256745
71,0.030005,257080
72,0.051705,257346
73,0.042339,257591
74,0.039327,257843
75,0.042525,258120
76,0.035740,258389
77,0.042187,258697
78,0.034846,258942
79,0.038458,259241
80,0.034405,259562
81,0.033634,259828
82,0.054411,260136
83,0.038615,260475
84,0.033504,260779
85,0.036584,261126
86,0.037503,261471
87,0.031103,261841
88,0.029028,262227
89,0.042393,262554
90,0.035230,262906
91,0.048798,263238
92,0.045396,263575
93,0.042442,263905
94,0.040679,264166
95,0.038624,264427
96,0.047259,264687
97,0.054778,264965
98,0.038156,265281
99,0.041450,265631
100,0.037305,265968
101,0.050564,266338
102,0.041759,266658
103,0.042457,266989
104,0.034598,267323
105,0.038577,267633
106,0.039342,267909
107,0.035937,268184
108,0.029958,268396
109,0.051446,268525
110,0.028060,268692
111,0.050714,268815
112,0.044062,268937
113,0.036916,269035
114,0.060677,269169
115,0.046655,269282
116,0.050148,269398
117,0.046089,269512
118,0.040922,269607
119,0.045203,269703
120,0.039808,269791
121,0.040899,269889
122,0.047041,269988
123,0.037106,270087
124,0.043672,270168
125,0.037054,270293
126,0.045188,270378
127,0.033232,270478
128,0.033661,270558
129,0.035139,270625
130,0.054423,270705
131,0.041116,270777
132,0.035173,270876
133,0.038179,270953
134,0.041122,271071
135,0.048819,271153
136,0.035562,271268
137,0.041910,271378
138,0.035183,271518
139,0.036795,271648
140,0.032340,271810
141,0.046306,271964
142,0.035109,272123
143,0.031624,272296
144,0.030867,272484
145,0.041749,272692
146,0.034927,272937
147,0.043263,273189
148,0.044991,273509
149,0.046639,273862
150,0.037300,274248
151,0.038994,274621
152,0.035877,275016
153,0.036809,275443
154,0.048092,275833
155,0.045075,276192
156,0.035675,276646
157,0.041275,277107
158,0.042300,277629
159,0.034201,278029
160,0.037491,278354
161,0.039453,278772
162,0.049533,279239
163,0.033324,279858
164,0.028827,280978
165,0.049672,281832
166,0.031297,282956
167,0.028048,284181
168,0.033113,285021
169,0.045333,286231
170,0.050052,287759
171,0.028368,289052
172,0.045267,290473
173,0.038173,292212
174,0.030881,294150
175,0.046340,295814
176,0.048828,297416
177,0.031802,299028
178,0.035624,300829
179,0.031223,302625
180,0.042600,304384
181,0.044163,306228
182,0.046524,307986
183,0.062767,309657
184,0.045384,311303
185,0.031776,311303
186,0.057732,314368
187,0.037049,314368
188,0.034887,317598
189,0.034322,317598
190,0.032256,320915
191,0.030760,320915
192,0.030914,324201
193,0.046418,324201
194,0.046788,327809
195,0.033615,327809
196,0.035262,331396
197,0.025680,334044
198,0.048011,336471
199,0.037407,338345
200,0.045723,340072
201,0.043739,341779
202,0.095313,343342
203,0.044989,344845
204,0.091076,346426
205,0.032532,347960
206,0.088651,349510
207,0.041495,351143
208,0.082682,353197
209,0.031202,355695
210,0.035765,358283
211,0.039176,360496
212,0.033350,362185
213,0.030301,364483
214,0.035900,364483
215,0.048165,367775
216,0.031256,370005
217,0.034673,372107
218,0.033045,373314
219,0.081428,374188
220,0.033241,374886
221,0.038535,375646
222,0.087002,376548
223,0.034555,377581
224,0.033184,378689
225,0.030309,379682
226,0.027507,380466
227,0.038492,381178
228,0.078016,381762
229,0.033041,382355
230,0.034570,382889
231,0.032480,382889
232,0.028753,383596
233,0.025481,383596
234,0.052376,383946
235,0.076569,383946
236,0.075469,383946
237,0.032846,384221
238,0.030960,384221
239,0.066514,384221
240,0.027168,384221
241,0.061662,384389
242,0.027889,384389
243,0.042946,384532
244,0.043784,384532
245,0.025425,384619
246,0.067158,384619
247,0.037645,384714
248,0.084681,384804
249,0.042575,384890
250,0.033691,384980
251,0.023347,385052
252,0.028858,385123
253,0.028599,385187
254,0.046817,385245
255,0.030461,385309
256,0.099612,385363
257,0.048191,385435
258,0.035082,385495
259,0.042127,385553
260,0.074277,385606
261,0.094863,385658
262,0.042516,385719
263,0.037801,385793
264,0.032581,385879
265,0.038622,385977
266,0.032905,386102
267,0.032963,386196
268,0.038494,386310
269,0.095283,386440
270,0.030066,386552
271,0.095332,386684
272,0.029914,386857
273,0.042837,387020
274,0.032607,387230
275,0.026959,387416
