iteration,avg_loss,num_points
1,0.052084,105168
2,0.045496,132530
3,0.031642,147481
4,0.039528,160114
5,0.025517,168407
6,0.027272,175418
7,0.023982,183493
8,0.024007,183493
9,0.020285,190405
10,0.021381,190405
11,0.018835,196846
12,0.021421,196846
13,0.017293,201718
14,0.020607,204943
15,0.020667,207554
16,0.020870,209536
17,0.019684,211451
18,0.022202,213203
19,0.021919,214917
20,0.021582,216409
21,0.021107,217839
22,0.023106,219328
23,0.022914,220755
24,0.023401,222170
25,0.024781,223512
26,0.024578,224805
27,0.025228,226108
28,0.025569,227379
29,0.024605,228639
30,0.025404,229810
31,0.025064,231043
32,0.025483,232293
33,0.024949,233450
34,0.025391,234531
35,0.026102,235577
36,0.026134,236661
37,0.026226,237638
38,0.025383,238567
39,0.026258,239513
40,0.026530,240437
41,0.025947,241240
42,0.026030,242041
43,0.026653,242933
44,0.026427,243676
45,0.026687,244448
46,0.025470,245205
47,0.026960,245945
48,0.025531,246659
49,0.026830,247299
50,0.025390,247885
51,0.026356,248509
52,0.024808,249158
53,0.025507,249745
54,0.026055,250237
55,0.024930,250785
56,0.025515,251255
57,0.024837,251715
58,0.025442,252205
59,0.024450,252668
60,0.026417,253073
61,0.025620,253478
62,0.025955,253898
63,0.026006,254290
64,0.026427,254686
65,0.025986,255083
66,0.026498,255411
67,0.026589,255740
68,0.026797,256174
69,0.027619,256417
70,0.027394,256745
71,0.027078,257080
72,0.027682,257346
73,0.027157,257591
74,0.027156,257843
75,0.026490,258120
76,0.027521,258389
77,0.026789,258697
78,0.027710,258942
79,0.026619,259241
80,0.027518,259562
81,0.027082,259828
82,0.028153,260136
83,0.028322,260475
84,0.028448,260779
85,0.028934,261126
86,0.028206,261471
87,0.028438,261841
88,0.029561,262227
89,0.028731,262554
90,0.029185,262906
91,0.029439,263238
92,0.029655,263575
93,0.029843,263905
94,0.028905,264166
95,0.029991,264427
96,0.029258,264687
97,0.029559,264965
98,0.028957,265281
99,0.029834,265631
100,0.029083,265968
101,0.030671,266338
102,0.028499,266658
103,0.031779,266989
104,0.028830,267323
105,0.032459,267633
106,0.029236,267909
107,0.031540,268184
108,0.029276,268396
109,0.031077,268525
110,0.028641,268692
111,0.030521,268815
112,0.028574,268937
113,0.030360,269035
114,0.028478,269169
115,0.030058,269282
116,0.025814,269398
117,0.027939,269512
118,0.025853,269607
119,0.026108,269703
120,0.026007,269791
121,0.026604,269889
122,0.025954,269988
123,0.026563,270087
124,0.025397,270168
125,0.025145,270293
126,0.026262,270378
127,0.025633,270478
128,0.024670,270558
129,0.024659,270625
130,0.025555,270705
131,0.025408,270777
132,0.024674,270876
133,0.025031,270953
134,0.025578,271071
135,0.025867,271153
136,0.023991,271268
137,0.028009,271378
138,0.024074,271518
139,0.025458,271648
140,0.024332,271810
141,0.026999,271964
142,0.024087,272123
143,0.027444,272296
144,0.023960,272484
145,0.026924,272692
146,0.025005,272937
147,0.027268,273189
148,0.025445,273509
149,0.031058,273862
150,0.027313,274248
151,0.029253,274621
152,0.026597,275016
153,0.029482,275443
154,0.027039,275833
155,0.029800,276192
156,0.026810,276646
