iteration,avg_loss,num_points
1,0.045585,208756
2,0.043429,307028
3,0.044427,373903
4,0.045563,428750
5,0.034063,473165
6,0.034516,507587
7,0.033003,542751
8,0.032455,542751
9,0.034795,574653
10,0.032310,574653
11,0.032564,604436
12,0.032004,604436
13,0.034097,630401
14,0.031885,651490
15,0.030331,670609
16,0.031185,686426
17,0.030883,700741
18,0.030980,716428
19,0.031158,730205
20,0.029889,742807
21,0.033909,753523
22,0.030955,763512
23,0.033548,772916
24,0.032807,781918
25,0.035273,790547
26,0.038438,798894
27,0.036201,806980
28,0.035363,814895
29,0.040382,823005
30,0.035497,830500
31,0.036023,837874
32,0.037156,845153
33,0.036791,851554
34,0.037592,857627
35,0.039673,863716
36,0.040181,870000
37,0.038391,875636
38,0.040939,881038
39,0.040524,886567
40,0.038037,891850
41,0.038711,896941
42,0.037539,901800
43,0.037909,906700
44,0.038516,911422
45,0.040478,915886
46,0.038848,920368
47,0.038199,924674
48,0.037049,928742
49,0.037579,932566
50,0.038113,936405
51,0.036544,940242
52,0.039302,944118
53,0.036842,947515
54,0.037960,950673
55,0.037763,953775
56,0.035237,956839
57,0.035836,959669
58,0.036485,962389
59,0.035656,965186
60,0.037950,967987
61,0.036090,970636
62,0.037763,973280
63,0.036008,975953
64,0.035537,978460
65,0.035762,981111
66,0.036986,983717
67,0.034735,986153
68,0.034646,988744
69,0.035630,991192
70,0.037477,993429
71,0.035688,995741
72,0.034788,997970
73,0.036241,1000051
74,0.034418,1002053
75,0.035929,1004192
76,0.034285,1006168
77,0.034980,1008256
78,0.033935,1010200
79,0.033932,1012211
80,0.033696,1014258
81,0.033530,1016066
82,0.033892,1018030
83,0.034910,1020106
84,0.033756,1022012
85,0.034163,1024004
86,0.033784,1026110
87,0.033568,1028275
88,0.033935,1030615
89,0.034194,1032803
90,0.035883,1035000
91,0.033800,1037170
92,0.034379,1039339
93,0.033783,1041485
94,0.034311,1043524
95,0.034263,1045440
96,0.033366,1047267
97,0.033716,1049129
98,0.033603,1051204
99,0.033513,1053353
100,0.033322,1055472
101,0.033211,1057432
102,0.032700,1059329
103,0.033813,1061269
104,0.032419,1063162
105,0.032719,1064975
106,0.032208,1066595
107,0.033343,1068174
108,0.032301,1069486
109,0.032198,1070653
110,0.031871,1071754
111,0.032727,1072740
112,0.030959,1073689
113,0.030775,1074569
114,0.030166,1075392
115,0.030276,1076259
116,0.030261,1077031
117,0.029656,1077843
118,0.029381,1078591
119,0.029078,1079282
120,0.029057,1079957
121,0.027723,1080607
122,0.027685,1081253
123,0.027494,1081828
124,0.027077,1082452
125,0.026232,1083069
126,0.026383,1083642
127,0.025705,1084257
128,0.025697,1084779
129,0.024993,1085300
130,0.025247,1085832
131,0.025044,1086406
132,0.025600,1086942
133,0.024073,1087406
134,0.024279,1087970
135,0.023779,1088478
136,0.025113,1089018
137,0.023193,1089595
138,0.024466,1090242
139,0.024325,1090949
140,0.023694,1091677
141,0.023903,1092403
142,0.023781,1093167
143,0.024130,1094028
144,0.025416,1094909
145,0.025570,1095866
146,0.025077,1096892
147,0.025815,1097991
148,0.025511,1099308
149,0.026154,1100824
150,0.028701,1102376
151,0.029201,1103916
152,0.030026,1105509
153,0.029032,1107151
154,0.030216,1108840
155,0.030099,1110482
156,0.030648,1112361
157,0.028631,1114372
158,0.028361,1116701
159,0.030090,1118669
160,0.030152,1120216
161,0.029900,1121883
162,0.030283,1123732
163,0.030388,1125669
164,0.029946,1128244
165,0.029544,1130981
166,0.030284,1134157
167,0.030747,1137928
168,0.030619,1141656
169,0.029546,1145320
170,0.031538,1149647
171,0.031334,1154275
172,0.030408,1159229
173,0.030561,1164510
174,0.030215,1170123
175,0.029732,1176186
176,0.029874,1182337
177,0.032512,1188661
178,0.031657,1195389
179,0.031354,1202156
180,0.032471,1208806
181,0.031328,1215650
182,0.032485,1222009
183,0.031567,1228316
184,0.036090,1234600
185,0.031501,1234600
186,0.031748,1243014
187,0.031065,1243014
188,0.032362,1252558
189,0.031563,1252558
190,0.032850,1262469
191,0.032273,1262469
192,0.037818,1272727
193,0.035899,1272727
194,0.039826,1283270
195,0.039080,1283270
196,0.041697,1294136
197,0.047256,1303996
198,0.049306,1312935
199,0.048522,1320684
200,0.047221,1327707
201,0.039385,1334298
202,0.038212,1340942
203,0.034186,1347554
204,0.033011,1353866
205,0.031764,1360039
206,0.033105,1366276
207,0.032696,1372356
208,0.036534,1378789
209,0.034676,1385597
210,0.033523,1392702
211,0.033190,1400598
212,0.036758,1407634
213,0.032907,1415478
214,0.033405,1415478
215,0.033821,1426149
216,0.033399,1435574
217,0.033117,1445454
218,0.034240,1454227
219,0.034004,1461101
220,0.034461,1467222
221,0.034691,1472576
222,0.037951,1477854
223,0.044299,1483496
224,0.050767,1489083
225,0.055512,1494368
226,0.058147,1498890
227,0.065017,1502909
228,0.063109,1506666
229,0.062629,1510137
230,0.064300,1513396
231,0.063068,1513396
232,0.061334,1517154
233,0.069446,1517154
234,0.064830,1519466
235,0.060559,1519466
236,0.060940,1519466
237,0.060023,1521577
238,0.060233,1521577
239,0.065955,1521577
240,0.059513,1521577
241,0.060128,1523026
242,0.058758,1523026
243,0.060259,1524272
244,0.062859,1524272
245,0.059057,1525239
246,0.061897,1525239
247,0.060458,1526307
248,0.065708,1527297
249,0.056678,1528291
250,0.056510,1529221
251,0.060563,1530131
252,0.058635,1531003
253,0.060185,1531913
254,0.051970,1532722
255,0.050344,1533534
256,0.035464,1534319
257,0.031647,1535147
258,0.030694,1535941
259,0.029235,1536692
260,0.029548,1537441
261,0.030221,1538165
262,0.030094,1538962
263,0.031431,1539660
264,0.030997,1540436
265,0.030424,1541197
266,0.030768,1542042
267,0.034815,1542907
268,0.030378,1543730
269,0.037178,1544614
270,0.031136,1545570
271,0.035391,1546481
272,0.032030,1547410
273,0.031361,1548367
274,0.031880,1549409
275,0.033568,1550436
276,0.030984,1551506
277,0.030939,1552662
278,0.031159,1553812
279,0.029599,1554997
280,0.030444,1556200
281,0.030040,1557530
282,0.033524,1558940
283,0.037382,1560470
284,0.030460,1561966
285,0.030217,1563436
286,0.030069,1564971
287,0.028064,1566665
288,0.029642,1568386
289,0.029030,1570069
290,0.028983,1571914
291,0.031151,1573930
292,0.029957,1575860
293,0.030493,1577771
294,0.033099,1579700
295,0.029693,1581749
296,0.030553,1583725
297,0.030360,1585725
298,0.033984,1587767
299,0.037410,1589759
300,0.030684,1591905
301,0.030593,1594034
302,0.034482,1596088
303,0.034089,1598239
304,0.031688,1600352
305,0.032703,1602222
306,0.033953,1604028
307,0.035992,1605844
308,0.031942,1607562
309,0.034544,1608965
310,0.035883,1610195
311,0.038236,1611350
312,0.033909,1612419
313,0.033044,1613477
314,0.036569,1614656
315,0.038399,1615796
316,0.035180,1616904
317,0.037304,1617837
318,0.034005,1618931
319,0.034845,1619984
320,0.037370,1620925
321,0.036678,1621859
322,0.032535,1622645
323,0.035140,1623344
324,0.031679,1624000
325,0.031131,1624610
326,0.030472,1625208
327,0.029030,1625679
328,0.027908,1626080
329,0.031035,1626443
330,0.027106,1626774
331,0.027338,1627068
332,0.026059,1627347
333,0.026149,1627595
334,0.026779,1627824
335,0.027528,1627986
336,0.026757,1628134
337,0.028664,1628220
338,0.026209,1628295
339,0.026434,1628370
340,0.026376,1628443
341,0.029098,1628493
342,0.027010,1628535
343,0.027198,1628556
344,0.026803,1628594
345,0.028187,1628636
346,0.028392,1628662
347,0.027748,1628689
348,0.027741,1628711
349,0.031225,1628732
350,0.028370,1628760
351,0.029017,1628777
352,0.032153,1628790
353,0.032060,1628809
354,0.031713,1628823
355,0.028101,1628837
356,0.029201,1628861
357,0.029709,1628883
358,0.028957,1628946
359,0.029564,1628961
360,0.030152,1628977
361,0.029245,1628992
362,0.028914,1629008
363,0.028542,1629017
364,0.029300,1629063
365,0.028620,1629092
366,0.028889,1629125
367,0.030778,1629156
368,0.032815,1629181
369,0.029057,1629195
370,0.029607,1629215
371,0.029311,1629230
372,0.028193,1629251
373,0.028422,1629264
374,0.030096,1629288
375,0.029279,1629308
376,0.028175,1629356
377,0.032700,1629356
378,0.030119,1629411
379,0.029188,1629411
380,0.030456,1629466
381,0.027116,1629466
382,0.025583,1629515
383,0.027498,1629515
384,0.026307,1629579
385,0.026032,1629641
386,0.026134,1629704
387,0.025402,1629775
388,0.028034,1629860
389,0.026683,1629952
390,0.026568,1630060
391,0.027505,1630129
392,0.030282,1630214
393,0.028519,1630283
394,0.026215,1630375
395,0.026118,1630450
396,0.025471,1630531
397,0.024858,1630622
398,0.024273,1630707
399,0.024617,1630850
400,0.025178,1630991
401,0.024431,1631142
402,0.024946,1631282
403,0.027757,1631454
404,0.025463,1631454
405,0.023908,1631725
406,0.027826,1631725
407,0.024956,1631962
408,0.023449,1632147
409,0.024302,1632321
410,0.024575,1632498
411,0.023201,1632693
412,0.023748,1632898
413,0.023099,1633087
414,0.023552,1633253
415,0.027470,1633406
416,0.024204,1633750
417,0.034220,1634086
418,0.038134,1634381
419,0.048517,1634672
420,0.053960,1634924
421,0.054629,1635178
422,0.055408,1635398
423,0.055384,1635398
424,0.054663,1635645
425,0.054677,1635645
426,0.059934,1635811
427,0.056444,1635811
428,0.056311,1635899
429,0.056826,1635899
430,0.056497,1635982
431,0.057219,1635982
432,0.056169,1636059
433,0.059821,1636059
434,0.054801,1636128
435,0.056929,1636128
436,0.047864,1636168
437,0.040580,1636216
438,0.028398,1636253
439,0.023962,1636297
440,0.022366,1636348
441,0.023660,1636403
442,0.026671,1636448
443,0.023387,1636490
444,0.022477,1636545
445,0.023243,1636592
446,0.025558,1636644
447,0.027939,1636690
448,0.022965,1636754
449,0.023550,1636815
450,0.027542,1636880
451,0.027731,1636948
452,0.028356,1637029
453,0.024930,1637114
454,0.024778,1637199
455,0.025989,1637283
456,0.027931,1637368
457,0.029823,1637443
458,0.026502,1637491
459,0.027599,1637566
460,0.028346,1637636
461,0.027910,1637684
462,0.027567,1637752
463,0.028217,1637830
464,0.027562,1637926
465,0.027860,1638000
466,0.031382,1638087
467,0.031587,1638198
468,0.028450,1638330
469,0.031611,1638410
470,0.028818,1638504
471,0.034364,1638598
472,0.032072,1638707
473,0.027207,1638831
474,0.029337,1638961
475,0.026244,1639095
476,0.025947,1639201
477,0.026162,1639316
478,0.025807,1639442
479,0.028669,1639588
480,0.024823,1639725
481,0.024827,1639872
482,0.024427,1640046
483,0.026720,1640179
484,0.022768,1640333
485,0.023054,1640552
486,0.023171,1640720
487,0.024755,1640985
488,0.023411,1641247
489,0.024667,1641616
490,0.027467,1641976
491,0.023642,1642297
492,0.025765,1642718
493,0.025116,1643112
494,0.024500,1643507
495,0.024628,1643770
496,0.023602,1644058
497,0.023887,1644289
498,0.024421,1644500
499,0.023935,1644699
500,0.023200,1644952
501,0.023714,1645158
502,0.023276,1645400
503,0.022707,1645654
504,0.028398,1645834
505,0.025240,1646029
506,0.023567,1646251
507,0.022956,1646522
508,0.024456,1646803
509,0.022237,1647110
510,0.023345,1647319
511,0.023067,1647533
512,0.025133,1647832
513,0.021515,1648019
514,0.021883,1648255
515,0.021002,1648442
516,0.025588,1648652
517,0.021608,1648932
518,0.021032,1649148
519,0.020245,1649504
520,0.020749,1649683
521,0.020947,1649819
522,0.021054,1650060
