iteration,avg_loss,num_points
1,0.052084,105168
2,0.044171,132530
3,0.040429,147481
4,0.033568,160114
5,0.026737,168407
6,0.024383,175418
7,0.023196,183493
8,0.020935,183493
9,0.021184,190405
10,0.019905,190405
11,0.020018,196846
12,0.018630,196846
13,0.017741,201718
14,0.017719,204943
15,0.017434,207554
16,0.017642,209536
17,0.017845,211451
18,0.016974,213203
19,0.018702,214917
20,0.019640,216409
21,0.018840,217839
22,0.018272,219328
23,0.019138,220755
24,0.019523,222170
25,0.019569,223512
26,0.020479,224805
27,0.021905,226108
28,0.020618,227379
29,0.020629,228639
30,0.021913,229810
31,0.021371,231043
32,0.021056,232293
33,0.022366,233450
34,0.021439,234531
35,0.021579,235577
36,0.021619,236661
37,0.022614,237638
38,0.021984,238567
39,0.022419,239513
40,0.021937,240437
41,0.020096,241240
42,0.020526,242041
43,0.021828,242933
44,0.021690,243676
45,0.021001,244448
46,0.021400,245205
47,0.019298,245945
48,0.020712,246659
49,0.020046,247299
50,0.020829,247885
51,0.019887,248509
52,0.019182,249158
53,0.020495,249745
54,0.020137,250237
55,0.019458,250785
56,0.019137,251255
57,0.018604,251715
58,0.018616,252205
59,0.020257,252668
60,0.019453,253073
61,0.020107,253478
62,0.020248,253898
63,0.019715,254290
64,0.019636,254686
65,0.018670,255083
66,0.019737,255411
